timestamp_s,mean,std,min,max,l2_norm
0.0,-0.0007931501,0.104941584,-0.6018307,0.24892974,15.019913
0.9677477872869578,0.011543637,0.111568734,-0.610795,0.27795872,16.05322
1.9354955745739155,0.01888288,0.1199776,-0.64501876,0.30589658,17.382845
2.9032433618608735,0.017411452,0.103819996,-0.6182921,0.2838802,15.066472
3.870991149147831,0.030505022,0.12450086,-0.65525186,0.38075274,18.345926
4.838738936434789,0.023334818,0.11768599,-0.6496762,0.3577222,17.171404
5.806486723721747,0.03906473,0.13286166,-0.59986836,0.43523368,19.820387
6.7742345110087046,0.0051730126,0.118734635,-0.68697554,0.3469109,17.009699
7.741982298295662,0.007202177,0.12609439,-0.72389865,0.38297707,18.076334
8.70973008558262,0.0043512406,0.12790145,-0.6760298,0.41931695,18.316141
9.677477872869577,0.012415516,0.12221453,-0.6006559,0.47126412,17.581654
10.645225660156536,0.020795075,0.1213449,-0.5592571,0.51783264,17.62034
11.612973447443494,0.033645157,0.12132745,-0.458368,0.56514,18.019974
12.58072123473045,0.042451806,0.11846015,-0.39321467,0.5516969,18.010092
13.548469022017409,0.035291843,0.12740654,-0.44808072,0.5857753,18.921368
14.516216809304366,0.04306989,0.119569734,-0.4256308,0.5610578,18.189455
15.483964596591324,0.050650295,0.11850199,-0.46493986,0.5611284,18.444561
16.45171238387828,0.049690038,0.12469329,-0.56616205,0.53529775,19.211216
17.41946017116524,0.05393105,0.123942435,-0.5870283,0.52416444,19.345505
18.387207958452198,0.049586136,0.121377066,-0.580966,0.5192375,18.765503
19.354955745739154,0.038549397,0.12344637,-0.6348088,0.5137128,18.509354
20.322703533026115,0.040987812,0.12367252,-0.60936415,0.53773826,18.647083
21.29045132031307,0.04494003,0.114935465,-0.500455,0.5145631,17.662573
22.258199107600028,0.03924166,0.11263322,-0.5059627,0.49257827,17.07069
23.225946894886988,0.039269168,0.10884553,-0.3941611,0.5076889,16.561064
24.193694682173945,0.02810342,0.100628234,-0.31732795,0.49632144,14.953266
25.1614424694609,0.029191444,0.10393354,-0.2883792,0.5095394,15.450797
26.129190256747858,0.033392727,0.09613715,-0.2509839,0.4900575,14.565764
27.096938044034818,0.0402907,0.07318588,-0.22570731,0.32935715,11.956938
28.064685831321775,0.04294637,0.07710082,-0.23544098,0.37100786,12.631247
29.03243361860873,0.0733805,0.11754206,-0.47595054,0.44922367,19.83204
